place_id,name,rating,user_ratings_total,current_opening_hours,postcode,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng
ChIJWbqHqRl52jERaRlNP_x3dxo,Durian Project Group Sdn Bhd Johor Branch Office,0.0,0.0,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']",81000,1.669541,103.5812167,1.670895329892722,103.5826723798927,1.668195670107278,103.5799727201073
ChIJwcg_WeFy2jER82R4LJSS7ek,Kitosan Johor,0.0,0.0,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",81200,1.5011363,103.6874352,1.502541229892722,103.6887981298927,1.499841570107278,103.6860984701073
ChIJL2HK9UBs0DERapsoBEFai7c,YCL Precision Engineering SDN.BHD,5.0,5.0,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",86000,2.0316458,103.292582,2.033019779892722,103.2940954798927,2.030320120107278,103.2913958201073
ChIJ6Q5iCj9z2jERi4CjpMaHYnQ,Bujang Holdings Sdn Bhd,0.0,0.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:30\u202fAM\u2009–\u20095:30\u202fPM']",81200,1.5099564,103.7218415,1.511352729892722,103.7231899298927,1.508653070107278,103.7204902701073
ChIJ4Vza_zlx2jERAk9zr_X-_Is,Ergonomics Excellence Centre,5.0,2.0,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",81400,1.5765915,103.6478351,1.578114729892722,103.6492985798927,1.575415070107278,103.6465989201073
ChIJPTgIMSpx0DERrIs3dqcjSaQ,Bangunan Dato' Abdul Rahman Andak,0.0,0.0,,86000,1.9930292,103.3610352,1.994350579892722,103.3623765298927,1.991650920107277,103.3596768701073
ChIJV2nAr8QS2jERfvzJGSKf9kE,Koperasi Perbadanan Johor Berhad,5.0,1.0,"['Monday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u20095:15\u202fPM']",81100,1.5615705,103.7351029,1.562882479892722,103.7364190298927,1.560182820107278,103.7337193701073
ChIJ3bXkH8xt2jERufNOUeH7tLM,FINAS Johor,0.0,0.0,"['Monday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 2:00\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 2:00\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 2:00\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 2:00\u2009–\u20093:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 2:00\u2009–\u20094:30\u202fPM']",81100,1.5395897,103.769438,1.540909679892722,103.7707977798927,1.538210020107278,103.7680981201073
ChIJX9SbAJFt2jERr9LgKTNbris,DeskNSpace Johor Bahru,0.0,0.0,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5233787,103.7846743,1.524758429892722,103.7859888798927,1.522058770107278,103.7832892201073
ChIJj45JL65y2jER8lm0WRDBqKQ,Kumpulan Prasarana Rakyat Johor Sdn Bhd(KPRJ),4.0,66.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:30\u202fAM\u2009–\u20095:30\u202fPM']",79250,1.4241702,103.6158784,1.425546229892722,103.6171430298927,1.422846570107278,103.6144433701073
